Date,Time,Auction Name,Contract,Auction Price eur/tCO2,Minimum Bid eur/tCO2,Maximum Bid eur/tCO2,Mean eur/tCO2,Median eur/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue eur,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
9/14/18,11:00,Auction 3. Period DE,T3PA,19.51,6.00,25.00,18.80,19.65,"4,360,000","15,881,000",83,51,3.07,"191,337","588,185","1,689,661","174,400","257,002",3.64,27,25,85063600,DE,,,,,,"85,063,600",,,,,,,,,,,,,,,,,,,,,
9/13/18,11:00,Auction 3. Period CAP2-EU,T3PA,21.90,10.00,24.00,20.88,21.97,"4,213,000","13,508,000",100,64,3.33,"135,080","450,267","949,431","150,464","200,559",3.21,30,28,92264700,EU25,"2,200,950","4,018,650","3,898,200","262,800","6,175,800",,"1,981,950","1,489,200","5,496,900","13,676,550","2,649,900","8,672,400","755,550","2,376,150","1,478,250","15,264,300","843,150","186,150","427,050","164,250","5,310,750",,"2,781,300","7,599,300","1,412,550","700,800","2,441,850"
9/12/18,15:00,EUAA Auction CAP2-EU,EAA3,23.75,23.01,24.11,23.66,23.69,"958,000","1,906,000",51,20,5.67,"37,373","211,778","168,779","136,857","88,006",1.99,9,7,22752500,EU25,"676,875","771,875","261,250","415,625","344,375",,"783,750","47,500","1,436,875","4,702,500","617,500","3,503,125","178,125","285,000","617,500","4,156,250","83,125","59,375","154,375","166,250","1,056,875",,"831,250","463,125","1,045,000","35,625","59,375"
9/12/18,11:00,Auction 3. Period CAP2-PL,T3PA,23.55,6.00,26.00,22.17,23.55,"3,547,000","12,831,000",88,45,3.03,"145,807","442,448","1,096,689","147,792","184,132",3.62,29,24,83531850,PL,,,,,,,,,,,,,,,,,,,,,,"83,531,850",,,,,
9/11/18,11:00,Auction 3. Period CAP2-EU,T3PA,24.15,6.00,26.00,22.45,23.91,"4,213,000","10,756,000",85,26,3.15,"126,541","398,370","671,282","324,077","488,671",2.55,27,13,101743950,EU25,"2,427,075","4,431,525","4,298,700","289,800","6,810,300",,"2,185,575","1,642,200","6,061,650","15,081,675","2,922,150","9,563,400","833,175","2,620,275","1,630,125","16,832,550","929,775","205,275","470,925","181,125","5,856,375",,"3,067,050","8,380,050","1,557,675","772,800","2,692,725"
9/10/18,11:00,Auction 3. Period CAP2-EU,T3PA,24.85,10.00,26.00,23.21,24.86,"4,213,000","17,032,000",72,37,2.88,"236,556","681,280","2,135,230","210,650","348,801",4.04,25,20,104693050,EU25,"2,497,425","4,559,975","4,423,300","298,200","7,007,700",,"2,248,925","1,689,800","6,237,350","15,518,825","3,006,850","9,840,600","857,325","2,696,225","1,677,375","17,320,450","956,725","211,225","484,575","186,375","6,026,125",,"3,155,950","8,622,950","1,602,825","795,200","2,770,775"
9/7/18,11:00,Auction 3. Period DE,T3PA,22.51,7.77,27.50,21.11,22.24,"4,360,000","17,537,000",102,21,3.64,"171,931","626,321","1,328,548","396,364","538,226",4.02,28,11,98143600,DE,,,,,,"98,143,600",,,,,,,,,,,,,,,,,,,,,
9/4/18,11:00,Auction 3. Period CAP2-EU,T3PA,20.50,10.00,23.00,19.67,20.36,"4,213,000","9,008,000",105,34,3.62,"85,790","310,621","406,769","221,737","357,257",2.14,29,19,86366500,EU25,"2,060,250","3,761,750","3,649,000","246,000","5,781,000",,"1,855,250","1,394,000","5,145,500","12,802,250","2,480,500","8,118,000","707,250","2,224,250","1,383,750","14,288,500","789,250","174,250","399,750","153,750","4,971,250",,"2,603,500","7,113,500","1,322,250","656,000","2,285,750"
9/3/18,11:00,Auction 3. Period CAP2-EU,T3PA,20.45,10.00,22.00,19.61,20.54,"4,213,000","7,207,000",81,56,3.24,"88,975","288,280","409,685","183,174","236,155",1.71,25,23,86155850,EU25,"2,055,225","3,752,575","3,640,100","245,400","5,766,900",,"1,850,725","1,390,600","5,132,950","12,771,025","2,474,450","8,098,200","705,525","2,218,825","1,380,375","14,253,650","787,325","173,825","398,775","153,375","4,959,125",,"2,597,150","7,096,150","1,319,025","654,400","2,280,175"
8/31/18,11:00,Auction 3. Period DE,T3PA,21.11,10.00,22.50,19.88,21.15,"2,180,000","5,771,000",75,44,2.88,"76,947","221,962","324,385","90,833","95,618",2.65,26,24,46019800,DE,,,,,,"46,019,800",,,,,,,,,,,,,,,,,,,,,
8/30/18,11:00,Auction 3. Period CAP2-EU,T3PA,21.09,10.00,25.00,20.08,21.09,"2,104,000","5,506,000",80,38,3.33,"68,825","229,417","306,173","95,636","84,016",2.62,24,22,44373360,EU25,"1,075,590","1,929,735","1,877,010","115,995","2,973,690",,"949,050","717,060","2,646,795","6,590,625","1,275,945","4,154,730","358,530","1,138,860","717,060","7,307,685","421,800","137,085","200,355","52,725","2,551,890",,"1,339,215","3,669,660","674,880","337,440","1,159,950"
8/29/18,11:02,Auction 3. Period CAP2-PL,T3PA,20.90,10.00,22.00,19.43,20.62,"1,773,500","6,344,500",77,14,2.96,"82,396","244,019","342,938","161,227","160,693",3.58,26,11,37066150,PL,,,,,,,,,,,,,,,,,,,,,,"37,066,150",,,,,
8/28/18,11:00,Auction 3. Period CAP2-EU,T3PA,21.30,10.00,22.50,19.97,21.33,"2,104,000","4,663,500",80,43,3.48,"58,294","202,761","308,048","116,889","113,241",2.22,23,18,44815200,EU25,"1,086,300","1,948,950","1,895,700","117,150","3,003,300",,"958,500","724,200","2,673,150","6,656,250","1,288,650","4,196,100","362,100","1,150,200","724,200","7,380,450","426,000","138,450","202,350","53,250","2,577,300",,"1,352,550","3,706,200","681,600","340,800","1,171,500"
8/24/18,11:00,Auction 3. Period DE,T3PA,20.55,10.00,25.00,19.29,20.43,"2,180,000","7,013,000",74,20,3.70,"94,770","350,650","492,494","145,333","245,507",3.22,20,15,44799000,DE,,,,,,"44,799,000",,,,,,,,,,,,,,,,,,,,,
8/23/18,11:00,Auction 3. Period CAP2-EU,T3PA,20.05,5.00,21.00,19.53,19.91,"2,104,000","6,954,000",72,16,3.13,"96,583","302,348","480,219","175,333","198,156",3.31,23,12,42185200,EU25,"1,022,550","1,834,575","1,784,450","110,275","2,827,050",,"902,250","681,700","2,516,275","6,265,625","1,213,025","3,949,850","340,850","1,082,700","681,700","6,947,325","401,000","130,325","190,475","50,125","2,426,050",,"1,273,175","3,488,700","641,600","320,800","1,102,750"
8/21/18,11:00,Auction 3. Period CAP2-EU,T3PA,18.55,8.00,20.00,17.64,18.48,"2,104,000","6,498,500",82,22,3.28,"79,250","259,940","411,817","123,765","251,239",3.09,25,17,39029200,EU25,"946,050","1,697,325","1,650,950","102,025","2,615,550",,"834,750","630,700","2,328,025","5,796,875","1,122,275","3,654,350","315,350","1,001,700","630,700","6,427,575","371,000","120,575","176,225","46,375","2,244,550",,"1,177,925","3,227,700","593,600","296,800","1,020,250"
8/20/18,11:00,Auction 3. Period CAP2-EU,T3PA,18.20,10.00,20.00,17.25,18.10,"2,104,000","8,032,500",73,18,3.17,"110,034","349,239","456,917","150,286","190,652",3.82,23,14,38292800,EU25,"928,200","1,665,300","1,619,800","100,100","2,566,200",,"819,000","618,800","2,284,100","5,687,500","1,101,100","3,585,400","309,400","982,800","618,800","6,306,300","364,000","118,300","172,900","45,500","2,202,200",,"1,155,700","3,166,800","582,400","291,200","1,001,000"
8/17/18,11:00,Auction 3. Period DE,T3PA,18.10,8.00,20.00,17.07,18.07,"2,180,000","6,075,000",65,24,2.71,"93,462","253,125","325,815","136,250","146,684",2.79,24,16,39458000,DE,,,,,,"39,458,000",,,,,,,,,,,,,,,,,,,,,
8/16/18,11:00,Auction 3. Period CAP2-EU,T3PA,18.00,8.00,20.00,17.11,17.94,"2,104,000","6,732,000",75,22,3.00,"89,760","269,280","451,647","116,889","143,132",3.20,25,18,37872000,EU25,"918,000","1,647,000","1,602,000","99,000","2,538,000",,"810,000","612,000","2,259,000","5,625,000","1,089,000","3,546,000","306,000","972,000","612,000","6,237,000","360,000","117,000","171,000","45,000","2,178,000",,"1,143,000","3,132,000","576,000","288,000","990,000"
8/14/18,11:00,Auction 3. Period CAP2-EU,T3PA,18.03,10.00,20.00,17.29,18.00,"2,104,000","10,427,000",88,32,3.52,"118,489","417,080","810,563","105,200","144,078",4.96,25,20,37935120,EU25,"919,530","1,649,745","1,604,670","99,165","2,542,230",,"811,350","613,020","2,262,765","5,634,375","1,090,815","3,551,910","306,510","973,620","613,020","6,247,395","360,600","117,195","171,285","45,075","2,181,630",,"1,144,905","3,137,220","576,960","288,480","991,650"
8/13/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.93,8.00,25.01,17.09,17.81,"2,104,000","9,144,000",79,17,3.43,"115,747","397,565","647,604","161,846","166,316",4.35,23,13,37724720,EU25,"914,430","1,640,595","1,595,770","98,615","2,528,130",,"806,850","609,620","2,250,215","5,603,125","1,084,765","3,532,210","304,810","968,220","609,620","6,212,745","358,600","116,545","170,335","44,825","2,169,530",,"1,138,555","3,119,820","573,760","286,880","986,150"
8/10/18,11:00,Auction 3. Period DE,T3PA,17.72,8.00,20.00,17.02,17.58,"2,180,000","10,394,000",99,17,3.81,"104,990","399,769","576,127","198,182","208,894",4.77,26,11,38629600,DE,,,,,,"38,629,600",,,,,,,,,,,,,,,,,,,,,
8/9/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.47,8.00,20.00,16.82,17.32,"2,104,000","10,517,000",102,19,3.52,"103,108","362,655","585,763","150,286","182,268",5.00,29,14,36756880,EU25,"890,970","1,598,505","1,554,830","96,085","2,463,270",,"786,150","593,980","2,192,485","5,459,375","1,056,935","3,441,590","296,990","943,380","593,980","6,053,355","349,400","113,555","165,965","43,675","2,113,870",,"1,109,345","3,039,780","559,040","279,520","960,850"
8/7/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.47,9.00,18.60,16.76,17.44,"2,104,000","11,007,000",85,28,3.70,"129,494","478,565","889,085","131,500","131,313",5.23,23,16,36756880,EU25,"890,970","1,598,505","1,554,830","96,085","2,463,270",,"786,150","593,980","2,192,485","5,459,375","1,056,935","3,441,590","296,990","943,380","593,980","6,053,355","349,400","113,555","165,965","43,675","2,113,870",,"1,109,345","3,039,780","559,040","279,520","960,850"
8/6/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.62,9.00,18.50,16.93,17.57,"2,104,000","9,894,000",91,31,3.37,"108,725","366,444","601,214","100,190","104,623",4.70,27,21,37072480,EU25,"898,620","1,612,230","1,568,180","96,910","2,484,420",,"792,900","599,080","2,211,310","5,506,250","1,066,010","3,471,140","299,540","951,480","599,080","6,105,330","352,400","114,530","167,390","44,050","2,132,020",,"1,118,870","3,065,880","563,840","281,920","969,100"
8/3/18,11:00,Auction 3. Period DE,T3PA,17.62,9.00,18.70,17.45,17.55,"2,180,000","8,981,000",73,21,3.17,"123,027","390,478","668,509","155,714","222,866",4.12,23,14,38411600,DE,,,,,,"38,411,600",,,,,,,,,,,,,,,,,,,,,
8/2/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.58,10.00,18.20,17.43,17.52,"2,104,000","11,568,000",86,24,3.58,"134,512","482,000","947,153","110,737","103,611",5.50,24,19,36988320,EU25,"896,580","1,608,570","1,564,620","96,690","2,478,780",,"791,100","597,720","2,206,290","5,493,750","1,063,590","3,463,260","298,860","949,320","597,720","6,091,470","351,600","114,270","167,010","43,950","2,127,180",,"1,116,330","3,058,920","562,560","281,280","966,900"
8/1/18,11:00,Auction 3. Period CAP2-PL,T3PA,17.38,7.00,25.01,16.67,17.31,"1,773,500","11,632,000",99,23,3.81,"117,495","447,385","656,920","110,844","108,020",6.56,26,16,30823430,PL,,,,,,,,,,,,,,,,,,,,,,"30,823,430",,,,,
7/31/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.87,10.00,17.80,16.28,16.70,"4,213,000","11,564,000",92,21,3.17,"125,696","398,759","635,591","280,867","399,177",2.74,29,15,71073310,EU25,"1,695,435","3,095,645","3,002,860","202,440","4,757,340",,"1,526,735","1,147,160","4,234,370","10,535,315","2,041,270","6,680,520","582,015","1,830,395","1,138,725","11,758,390","649,495","143,395","328,965","126,525","4,090,975",,"2,142,490","5,853,890","1,088,115","539,840","1,881,005"
7/30/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.90,8.00,18.00,16.35,16.87,"4,213,000","12,675,500",96,33,3.56,"132,036","469,463","913,453","247,824","390,740",3.01,27,17,71199700,EU25,"1,698,450","3,101,150","3,008,200","202,800","4,765,800",,"1,529,450","1,149,200","4,241,900","10,554,050","2,044,900","6,692,400","583,050","1,833,650","1,140,750","11,779,300","650,650","143,650","329,550","126,750","4,098,250",,"2,146,300","5,864,300","1,090,050","540,800","1,884,350"
7/27/18,11:00,Auction 3. Period DE,T3PA,16.91,7.00,18.00,16.24,16.91,"4,360,000","12,707,500",106,53,4.42,"119,882","529,479","969,508","218,000","317,482",2.91,24,20,73727600,DE,,,,,,"73,727,600",,,,,,,,,,,,,,,,,,,,,
7/26/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.99,8.00,18.00,16.58,16.97,"4,213,000","11,919,000",129,56,4.45,"92,395","411,000","663,761","162,038","248,494",2.83,29,26,71578870,EU25,"1,707,495","3,117,665","3,024,220","203,880","4,791,180",,"1,537,595","1,155,320","4,264,490","10,610,255","2,055,790","6,728,040","586,155","1,843,415","1,146,825","11,842,030","654,115","144,415","331,305","127,425","4,120,075",,"2,157,730","5,895,530","1,095,855","543,680","1,894,385"
7/24/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.45,8.00,20.00,16.90,17.41,"4,213,000","14,353,000",109,34,4.36,"131,679","574,120","1,016,841","280,867","378,344",3.41,25,15,73516850,EU25,"1,753,725","3,202,075","3,106,100","209,400","4,920,900",,"1,579,225","1,186,600","4,379,950","10,897,525","2,111,450","6,910,200","602,025","1,893,325","1,177,875","12,162,650","671,825","148,325","340,275","130,875","4,231,625",,"2,216,150","6,055,150","1,125,525","558,400","1,945,675"
7/23/18,11:00,Auction 3. Period CAP2-EU,T3PA,17.20,9.00,25.01,16.60,17.00,"4,213,000","12,737,500",104,22,3.71,"122,476","454,911","647,895","300,929","318,834",3.02,28,14,72463600,EU25,"1,728,600","3,156,200","3,061,600","206,400","4,850,400",,"1,556,600","1,169,600","4,317,200","10,741,400","2,081,200","6,811,200","593,400","1,866,200","1,161,000","11,988,400","662,200","146,200","335,400","129,000","4,171,000",,"2,184,400","5,968,400","1,109,400","550,400","1,917,800"
7/20/18,11:00,Auction 3. Period DE,T3PA,16.90,7.50,17.50,16.33,16.90,"4,360,000","12,549,500",90,43,3.75,"139,439","522,896","1,012,584","207,619","292,276",2.88,24,21,73684000,DE,,,,,,"73,684,000",,,,,,,,,,,,,,,,,,,,,
7/19/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.46,7.00,17.05,15.98,16.45,"4,213,000","9,157,500",99,49,3.54,"92,500","327,054","399,744","183,174","301,202",2.17,28,23,69345980,EU25,"1,654,230","3,020,410","2,929,880","197,520","4,641,720",,"1,489,630","1,119,280","4,131,460","10,279,270","1,991,660","6,518,160","567,870","1,785,910","1,111,050","11,472,620","633,710","139,910","320,970","123,450","3,991,550",,"2,090,420","5,711,620","1,061,670","526,720","1,835,290"
7/18/18,15:00,EUAA Auction CAP2-EU,EAA3,16.01,15.85,16.35,16.11,16.12,"958,000","1,236,000",27,21,4.50,"45,778","206,000","114,588","159,667","59,779",1.29,6,6,15337580,EU25,"456,285","520,325","176,110","280,175","232,145",,"528,330","32,020","968,605","3,169,980","416,260","2,361,475","120,075","192,120","416,260","2,801,750","56,035","40,025","104,065","112,070","712,445",,"560,350","312,195","704,440","24,015","40,025"
7/18/18,11:00,Auction 3. Period CAP2-PL,T3PA,16.17,7.00,17.00,15.58,16.09,"3,547,000","13,980,500",98,28,3.92,"142,658","559,220","1,078,291","236,467","305,484",3.94,25,15,57354990,PL,,,,,,,,,,,,,,,,,,,,,,"57,354,990",,,,,
7/17/18,11:00,Auction 3. Period CAP2-EU,T3PA,15.87,6.00,17.10,14.94,15.82,"4,213,000","14,655,500",110,39,4.07,"133,232","542,796","1,367,477","200,619","352,615",3.48,27,21,66860310,EU25,"1,594,935","2,912,145","2,824,860","190,440","4,475,340",,"1,436,235","1,079,160","3,983,370","9,910,815","1,920,270","6,284,520","547,515","1,721,895","1,071,225","11,061,390","610,995","134,895","309,465","119,025","3,848,475",,"2,015,490","5,506,890","1,023,615","507,840","1,769,505"
7/16/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.14,6.00,17.20,15.25,16.11,"4,213,000","15,341,500",115,48,4.26,"133,404","568,204","1,286,482","175,542","231,530",3.64,27,24,67997820,EU25,"1,622,070","2,961,690","2,872,920","193,680","4,551,480",,"1,460,670","1,097,520","4,051,140","10,079,430","1,952,940","6,391,440","556,830","1,751,190","1,089,450","11,249,580","621,390","137,190","314,730","121,050","3,913,950",,"2,049,780","5,600,580","1,041,030","516,480","1,799,610"
7/13/18,11:00,Auction 3. Period DE,T3PA,15.80,6.00,17.10,14.87,15.85,"4,360,000","11,205,000",102,62,4.25,"109,853","466,875","795,133","207,619","339,017",2.57,24,21,68888000,DE,,,,,,"68,888,000",,,,,,,,,,,,,,,,,,,,,
7/12/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.22,6.00,17.25,15.19,16.20,"4,213,000","12,078,000",108,50,4.50,"111,833","503,250","817,860","210,650","257,054",2.87,24,20,68334860,EU25,"1,630,110","2,976,370","2,887,160","194,640","4,574,040",,"1,467,910","1,102,960","4,071,220","10,129,390","1,962,620","6,423,120","559,590","1,759,870","1,094,850","11,305,340","624,470","137,870","316,290","121,650","3,933,350",,"2,059,940","5,628,340","1,046,190","519,040","1,808,530"
7/10/18,11:00,Auction 3. Period CAP2-EU,T3PA,16.15,6.00,17.15,15.13,16.06,"4,213,000","14,127,000",113,28,4.91,"125,018","614,217","1,006,941","280,867","346,799",3.35,23,15,68039950,EU25,"1,623,075","2,963,525","2,874,700","193,800","4,554,300",,"1,461,575","1,098,200","4,053,650","10,085,675","1,954,150","6,395,400","557,175","1,752,275","1,090,125","11,256,550","621,775","137,275","314,925","121,125","3,916,375",,"2,051,050","5,604,050","1,041,675","516,800","1,800,725"
7/9/18,11:00,Auction 3. Period CAP2-EU,T3PA,15.85,6.00,17.20,14.89,15.80,"4,213,000","14,212,000",107,40,4.46,"132,822","592,167","1,317,369","221,737","361,752",3.37,24,19,66776050,EU25,"1,592,925","2,908,475","2,821,300","190,200","4,469,700",,"1,434,425","1,077,800","3,978,350","9,898,325","1,917,850","6,276,600","546,825","1,719,725","1,069,875","11,047,450","610,225","134,725","309,075","118,875","3,843,625",,"2,012,950","5,499,950","1,022,325","507,200","1,767,275"
7/6/18,11:00,Auction 3. Period DE,T3PA,15.55,6.00,16.00,14.54,15.52,"4,360,000","11,301,000",99,40,4.50,"114,152","513,682","708,711","256,471","385,589",2.59,22,17,67798000,DE,,,,,,"67,798,000",,,,,,,,,,,,,,,,,,,,,
7/5/18,11:01,Auction 3. Period CAP2-EU,T3PA,15.40,6.00,16.16,14.56,15.31,"4,213,000","13,926,000",117,32,3.90,"119,026","464,200","909,675","210,650","265,828",3.31,30,20,64880200,EU25,"1,547,700","2,825,900","2,741,200","184,800","4,342,800",,"1,393,700","1,047,200","3,865,400","9,617,300","1,863,400","6,098,400","531,300","1,670,900","1,039,500","10,733,800","592,900","130,900","300,300","115,500","3,734,500",,"1,955,800","5,343,800","993,300","492,800","1,717,100"
7/4/18,11:00,Auction 3. Period CAP2-PL,T3PA,15.35,6.00,16.00,14.33,15.10,"3,547,000","16,626,000",116,17,4.64,"143,328","665,040","1,165,094","394,111","506,970",4.69,25,9,54446450,PL,,,,,,,,,,,,,,,,,,,,,,"54,446,450",,,,,
7/3/18,11:00,Auction 3. Period CAP2-EU,T3PA,15.15,6.00,16.00,14.43,15.10,"4,213,000","15,773,000",134,48,4.96,"117,709","584,185","1,032,275","191,500","317,778",3.74,27,22,63826950,EU25,"1,522,575","2,780,025","2,696,700","181,800","4,272,300",,"1,371,075","1,030,200","3,802,650","9,461,175","1,833,150","5,999,400","522,675","1,643,775","1,022,625","10,559,550","583,275","128,775","295,425","113,625","3,673,875",,"1,924,050","5,257,050","977,175","484,800","1,689,225"
7/2/18,11:00,Auction 3. Period CAP2-EU,T3PA,14.95,5.00,16.00,14.06,14.80,"4,213,000","14,845,000",113,23,4.71,"131,372","618,542","910,577","300,929","329,764",3.52,24,14,62984350,EU25,"1,502,475","2,743,325","2,661,100","179,400","4,215,900",,"1,352,975","1,016,600","3,752,450","9,336,275","1,808,950","5,920,200","515,775","1,622,075","1,009,125","10,420,150","575,575","127,075","291,525","112,125","3,625,375",,"1,898,650","5,187,650","964,275","478,400","1,666,925"
6/29/18,11:00,Auction 3. Period DE,T3PA,14.85,6.00,16.10,13.92,14.86,"4,360,000","11,649,500",90,46,4.09,"129,439","529,523","823,514","242,222","370,476",2.67,22,18,64746000,DE,,,,,,"64,746,000",,,,,,,,,,,,,,,,,,,,,
6/28/18,11:00,Auction 3. Period CAP2-EU,T3PA,15.22,6.00,16.30,14.16,15.17,"4,213,000","9,422,000",77,26,3.35,"122,364","409,652","553,257","324,077","401,211",2.24,23,13,64121860,EU25,"1,529,610","2,792,870","2,709,160","182,640","4,292,040",,"1,377,410","1,034,960","3,820,220","9,504,890","1,841,620","6,027,120","525,090","1,651,370","1,027,350","10,608,340","585,970","129,370","296,790","114,150","3,690,850",,"1,932,940","5,281,340","981,690","487,040","1,697,030"
